,Tuoteryhmä ( määrät 1000L),,,,,,,,,,,,,
Aika,VODKAT JA VIINAT - VODKA OCH BRÄNNVIN - VODKA AND SPIRITS ,MUUT VÄKEVÄT - ÖVRIGT SPRIT - OTHER SPIRITS,VÄKEVÄT VIINIT - STARKVIN - FORTIFIED WINES,PUNAVIINIT - RÖDVIN - RED WINE,VALKOVIINIT - VITVIN - WHITE WINE,KUOHUVIINIT - MOUSSERANDE VIN - SPARKLING WINE,ROSEEVIINIT - ROSÉVIN - ROSÉ WINE,MUUT MIEDOT VIINIT - ÖVRIGT SVAGVIN - OTHER WINES ,SIIDERIT - CIDER - CIDER,LONGDRINKIT - LONG DRINK - LONG DRINK,OLUET - ÖL - BEER,ALKOHOLITTOMAT - ALKOHOLFRITT - NON-ALCOHOLIC BEVERAGES,YHTEENSÄ - Sammanlagt - Total,YHTEENSÄ 100 %:N ALKOHOLINA
09/2017,1165,639,189,1961,1756,357,71,86,59,484,712,32,7514,1270
08/2017,1184,616,191,1809,2019,435,133,112,61,558,697,38,7854,1301
07/2017,1200,627,190,1880,2278,523,209,157,72,697,746,44,8623,1382
06/2017,1269,676,197,2047,2392,690,217,190,80,745,792,52,9347,1488
05/2017,1058,526,173,1600,1679,491,114,115,53,450,627,37,6924,1150
04/2017,1143,620,180,2203,1898,720,72,123,55,472,676,38,8201,1347
03/2017,1156,633,189,2007,1682,354,47,80,50,430,685,31,7343,1257
02/2017,1002,551,168,1745,1397,286,34,67,43,343,591,26,6255,1080
01/2017,973,495,173,1522,1228,232,29,64,35,291,514,26,5581,987
12/2016,1419,1026,647,3492,2022,754,47,449,63,489,956,64,11427,1919
11/2016,1086,608,341,2076,1407,288,34,228,45,356,626,31,7127,1226
10/2016,1093,593,227,1945,1505,292,43,110,47,391,649,29,6925,1187
09/2016,1159,620,196,1925,1716,340,68,87,54,466,714,32,7378,1250
08/2016,1167,601,196,1814,1924,403,118,112,58,527,694,39,7652,1272
07/2016,1242,641,203,1956,2360,526,207,179,76,718,805,47,8961,1431
06/2016,1241,654,202,2023,2363,667,196,208,79,697,794,52,9175,1458
05/2016,1056,505,178,1546,1726,489,125,130,57,477,666,38,6992,1146
04/2016,1201,633,200,1980,1832,751,70,137,63,474,725,41,8106,1342
03/2016,1134,622,193,2285,1688,341,37,78,47,393,673,32,7523,1278
02/2016,1045,565,179,1799,1394,276,27,71,41,334,630,28,6391,1108
01/2016,1015,532,188,1662,1228,228,23,73,37,289,547,27,5849,1038
12/2015,1451,1062,699,3615,2060,765,42,418,65,487,981,69,11711,1968
11/2015,1078,593,321,2011,1403,290,29,170,47,361,656,31,6990,1200
10/2015,1220,660,257,2230,1690,318,43,114,53,433,733,29,7780,1331
09/2015,1139,587,200,1812,1622,1622,58,92,52,437,688,27,7013,1197
08/2015,1187,594,208,1763,2037,425,123,139,66,587,756,35,7921,1297
07/2015,1313,682,224,2116,2424,516,194,187,75,728,847,41,9346,1503
06/2015,1254,653,209,2056,2202,539,158,188,75,644,779,37,8794,1425
05/2015,1080,535,187,1702,1651,516,82,140,54,450,650,28,7074,1173
04/2015,1237,647,207,2318,1934,735,51,153,63,515,731,23,8613,1419
03/2015,1101,578,193,1925,1513,289,30,83,47,385,647,15,6808,1174
02/2015,1012,536,179,1713,1334,258,24,77,44,335,595,14,595,1062
01/2015,1033,510,189,1636,1260,226,23,76,41,309,555,15,5872,1037
12/2014,1465,1051,704,3656,2006,710,37,399,65,488,918,32,11532,1960
11/2014,1098,596,361,2070,1394,267,26,178,49,374,650,15,7079,1221
10/2014,1282,684,281,2332,1721,298,38,127,58,458,743,14,8036,1386
09/2014,1171,601,210,1845,1619,279,50,101,55,463,682,12,7089,1221
08/2014,1243,627,220,1880,2118,397,121,159,74,642,766,15,8262,1361
07/2014,1293,639,228,1972,2509,490,202,230,87,818,858,17,9344,1484
06/2014,1255,647,217,2071,2244,497,150,216,83,686,779,17,8864,1434
05/2014,1184,577,210,1838,1850,538,92,176,69,529,716,16,7795,1288
04/2014,1276,659,226,2434,1992,685,53,168,70,532,754,15,8864,1464
03/2014,1161,605,211,1948,1561,289,32,94,57,426,680,11,7075,1222
02/2014,1078,571,198,1828,1381,252,26,86,51,373,641,10,6494,1129
01/2014,1108,566,215,1791,1297,215,23,87,45,335,582,10,6275,1118
12/2013,1515,1113,733,3720,1998,686,38,414,73,524,942,28,11784,2020
11/2013,1232,691,405,2388,1582,289,30,193,65,450,747,16,8088,1391
10/2013,1230,663,283,2165,1580,257,34,118,60,450,705,13,7558,1313
09/2013,1158,618,221,1861,1562,262,46,102,62,480,688,12,7071,1217
08/2013,1338,696,250,2071,2144,382,104,152,84,673,817,16,8726,1453
07/2013,1339,700,251,2115,2410,442,170,203,90,781,828,17,9346,1518
06/2013,1319,685,237,2065,2421,541,168,239,103,830,839,19,9467,1513
05/2013,1216,593,224,1809,1861,511,91,177,78,575,761,16,7912,1308
04/2013,1264,666,232,2060,1731,647,44,167,76,503,737,13,8140,1373
03/2013,1303,744,243,2566,1772,317,36,112,66,490,754,11,8414,1449
