Month,Helsinki_temp,Helsinki_rain,Jyvaskyla_temp,Jyvaskyla_rain,Sodankyla_temp,Sodankyla_rain,Seinajoki_temp,Seinajoki_rain
3/2013,-5.2,null,null,null,-13.2,null,null,null
4/2013,3.1,null,null,null,-0.9,null,null,null
5/2013,12.6,null,null,null,9.5,null,null,null
6/2013,17.5,null,null,null,14.2,null,null,null
7/2013,18.1,null,null,null,14.6,null,null,null
8/2013,12.2,null,null,null,13.9,null,null,null
9/2013,12.6,null,null,null,9.1,null,null,null
10/2013,7.5,null,null,null,0.4,null,null,null
11/2013,3.7,null,null,null,-5.9,null,null,null
12/2013,2.3,null,null,null,-8.3,null,null,null
1/2014,-5.9,null,null,null,-15.1,null,null,null
2/2014,0.2,null,null,null,-4.0,null,null,null
3/2014,2.1,null,null,null,-3.9,null,null,null
4/2014,5.9,null,null,null,-0.2,null,null,null
5/2014,10.6,null,null,null,5.4,null,null,null
6/2014,13.5,null,null,null,10.6,null,null,null
7/2014,20.1,null,null,null,18.3,null,null,null
8/2014,17.9,null,null,null,13.9,null,null,null
9/2014,13.0,null,null,null,7.6,null,null,null
10/2014,6.7,null,null,null,-1.0,null,null,null
11/2014,3.2,null,null,null,-5.7,null,null,null
12/2014,0.1,null,null,null,-8.4,null,null,null
1/2015,-0.9,null,null,null,-14.1,null,null,null
2/2015,0.9,null,null,null,-6.5,null,null,null
3/2015,2.4,null,null,null,-2.3,null,null,null
4/2015,5.3,null,null,null,0.9,null,null,null
5/2015,9.3,null,null,null,6.3,null,null,null
6/2015,13.3,null,null,null,10.2,null,null,null
7/2015,16.4,null,null,null,12.0,null,null,null
8/2015,17.5,null,null,null,13.5,null,null,null
9/2015,13.7,null,null,null,9.5,null,null,null
10/2015,6.4,17,4.0,26,0.6,38,4.6,23
11/2015,5.6,70,2.7,75,41.0,72,3.5,55
12/2015,3.3,28,0.1,63,-8.9,41,0.3,66
1/2016,-8.8,53,-4.7,39,-18.1,29,-2.9,40
2/2016,0.3,76,-2.6,79,-6.3,65,-2.6,50
3/2016,0.9,12,-1.5,15,-4.0,8,-0.3,8
4/2016,4.8,72,3.5,63,1.1,40,3.5,56
5/2016,13.8,8,12.4,20,9.0,35,11.5,21
6/2016,15.3,140,14.3,61,12.0,113,14.3,null
7/2016,17.8,62,16.5,109,16.8,111,16.9,60
8/2016,16.4,68,14.1,108,12.2,68,14.3,176
9/2016,13.3,58,10.2,53,8.5,76,10.9,33
10/2016,5.6,25,2.6,22,1.7,9,3.2,16
11/2016,0.0,null,-2.8,61,-6.1,49,-1.6,53
12/2016,0.2,14,-2.8,27,-9.1,34,-2.0,22
1/2017,-1.9,22,-14.7,16,-10.2,24,-11.6,8
2/2017,-2.0,27,-5.8,30,-10.1,15,-4.6,34
3/2017,1.2,34,-1.2,36,-2.3,27,-0.5,38
4/2015,2.8,37,0.4,34,−2.5,28,1.1,52
5/2017,9.5,14,7.0,15,2.6,9,7.0,27
6/2017,13.7,81,12.5,54,10.3,37,13.1,70
7/2017,16.0,35,14.4,69,15.1,84,14.8,43
8/2017,16.2,89,14.0,67,11.9,58,14.1,77
9/2017,12.1,68,9.1,57,7.2,null,9.7,41
